request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_186,2124,affordable_later,wait,2026-03-15:26554,2026-03-15,none,Pay ZAR 26554 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22000 minimum.
request_187,36870.46,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Pay INR 187500 in full on 15 November 2024. Paying earlier would take the balance below the INR 128300 minimum.
request_188,91.47,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2464 request. Although EUR 91.47 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,545.57,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,Pay EUR 2557.50 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1600 minimum.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,164.92,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2046 request. Although USD 164.92 is available today, the full amount cannot be completed safely within 90 days."
request_193,54.20,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1000 available."
request_194,31102.37,affordable_later,wait,2025-10-23:132800,2025-10-23,none,Pay INR 132800 in full on 23 October 2025. Paying earlier would take the balance below the INR 113600 minimum.
request_195,1019.76,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17658853.33, starting 19 November 2025. This leaves at least IDR 26245900 available."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This leaves at least IDR 25359500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1400 available."
request_204,566.79,affordable_with_plan,full_payment,2026-01-04:588.74,2026-01-15,stop:event_18761,"Stop the delivery service plan, then pay EUR 588.74 today. This leaves at least EUR 1300 available."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4377.32,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13600 minimum.
request_208,3654156.05,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4413000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10470700 minimum.
request_209,1436.32,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56914 request. Although ZAR 1436.32 is available today, the full amount cannot be completed safely within 90 days."
request_210,1111.51,affordable_with_plan,partial_payment,2026-04-06:1111.51|2026-04-15:248.51,2026-04-15,none,Pay USD 1111.51 today and the remaining USD 248.51 on 15 April 2026. This completes the full request and keeps the USD 2000 minimum protected.
request_211,265.15,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,Pay EUR 1788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1500 minimum.
request_212,5278954.83,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71934000 request. Although IDR 5278954.83 is available today, the full amount cannot be completed safely within 90 days."
request_213,3306.27,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 21 January 2026. This leaves at least USD 2100 available."
request_214,37264.56,affordable_with_plan,partial_payment,2024-12-04:37264.56|2024-12-15:32485.44,2024-12-15,none,Pay INR 37264.56 today and the remaining INR 32485.44 on 15 December 2024. This completes the full request and keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This leaves at least ZAR 15700 available."
request_216,476.25,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,Pay USD 3332.40 in full on 15 September 2026. Paying earlier would take the balance below the USD 1800 minimum.
request_217,19507.32,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This leaves at least ZAR 26800 available."
request_218,24109513.65,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This leaves at least IDR 34477200 available."
request_219,780.34,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1100 available."
request_220,73.24,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3118.50 request. Although EUR 73.24 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10069312.56,affordable_with_plan,partial_payment,2025-02-04:10069312.56|2025-02-15:257687.44,2025-02-15,none,Pay IDR 10069312.56 today and the remaining IDR 257687.44 on 15 February 2025. This completes the full request and keeps the IDR 22187600 minimum protected.
request_225,10454958.06,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This leaves at least IDR 17670700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,6856.08,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259700 request. Although INR 6856.08 is available today, the full amount cannot be completed safely within 90 days."
request_228,1249505.45,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63327000 request. Although IDR 1249505.45 is available today, the full amount cannot be completed safely within 90 days."
request_229,533.74,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1000 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. This leaves at least EUR 2000 available over the next 90 days.
request_231,31701.10,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This leaves at least ZAR 24300 available."
request_232,602.54,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,Pay EUR 1970.10 in full on 15 August 2024. Paying earlier would take the balance below the EUR 2400 minimum.
request_233,3501929.97,affordable_with_plan,partial_payment,2025-11-07:3501929.97|2025-11-15:2739070.03,2025-11-15,none,Pay IDR 3501929.97 today and the remaining IDR 2739070.03 on 15 November 2025. This completes the full request and keeps the IDR 10365700 minimum protected.
request_234,224.86,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Pay EUR 1213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,6103236.17,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52383000 request. Although IDR 6103236.17 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13932.38,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101200 request. Although INR 13932.38 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This leaves at least IDR 19252000 available."
request_242,25.49,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1966.80 request. Although EUR 25.49 is available today, the full amount cannot be completed safely within 90 days."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,33227.84,affordable_later,wait,2026-01-15:128500,2026-01-15,none,Pay INR 128500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94600 minimum.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This leaves at least ZAR 39300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,303.92,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1965.60 request. Although USD 303.92 is available today, the full amount cannot be completed safely within 90 days."
request_249,156.62,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,15141.89,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124278 request. Although ZAR 15141.89 is available today, the full amount cannot be completed safely within 90 days."
request_251,722.28,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1513.60 request. Although EUR 722.28 is available today, the full amount cannot be completed safely within 90 days."
request_252,4860585.60,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Pay IDR 28082000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 15152200 minimum.
request_253,1642.68,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2300 available."
request_254,606.70,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,Pay USD 3535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2500 minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This leaves at least IDR 9813900 available over the next 90 days.
request_256,152175.76,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 10 June 2024. This leaves at least INR 168600 available."
request_257,375.45,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,Pay USD 1352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1600 minimum.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This leaves at least USD 500 available over the next 90 days.
request_259,251.31,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,6304748.97,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52079000 request. Although IDR 6304748.97 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This leaves at least IDR 31018500 available over the next 90 days.
request_263,5414.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51546 request. Although ZAR 5414.81 is available today, the full amount cannot be completed safely within 90 days."
request_264,23210.21,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Pay INR 111300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59500 minimum.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This leaves at least INR 189700 available over the next 90 days.
request_266,787.86,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1661.94,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1500 available."
request_268,1033.69,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1400 available."
request_269,10108.42,affordable_later,wait,2025-11-15:15490,2025-11-15,none,Pay ZAR 15490 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 23100 minimum.
request_270,100.49,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3028.80 request. Although USD 100.49 is available today, the full amount cannot be completed safely within 90 days."
request_271,13612.75,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Pay INR 91300 in full on 15 November 2024. Paying earlier would take the balance below the INR 58200 minimum.
request_272,5289252.25,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This leaves at least IDR 7508600 available."
request_273,10878391.39,affordable_with_plan,partial_payment,2026-04-07:10878391.39|2026-04-15:4982608.61,2026-04-15,none,Pay IDR 10878391.39 today and the remaining IDR 4982608.61 on 15 April 2026. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2077.21,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
